web_scraper_order,web_scraper_start_url,data,data2,name,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image
"1782372088-1","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Продам Life_Reboot Изготовление документов - Паспорта, ID карт, Водительские прав, визы, автодокументы","[IMG]
Life Reboot - Изготовление документов под заказ
Огромная просьба не задавать вопросы в теме! Писать в телеграмм или ЛС форума!

Документы РФ...","Life_Reboot","","Сообщение от: Life_Reboot,
			15/12/25
			в разделе: Сканы документов , Мед справки и другое .","15/12/25","Сканы документов , Мед справки и другое .","","","Продам","","","","","Сообщение","https://www.legalizer.cc/search/44355335/data/avatars/s/331/331879.jpg?1765883138"
"1782372088-2","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Ищу Куплю карту Казахстана и PayPaL","Куплю карту Kz и PayPal,никакой грязи, бабки нужно выводить из стрима, либо можем под % сотрудничать","ViolaS2030","Куплю","Автор темы: ViolaS2030,
			2/8/25,
			ответов - 4,
			в разделе: Обналичка, Обмен, Карты, Кошельки, Аккаунты","2/8/25","Обналичка, Обмен, Карты, Кошельки, Аккаунты","карту","Ищу","","","","Куплю","карту","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_female_s.png"
"1782372088-3","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Аренда Ищу Куплю либо возьму в аренду ЛК банки Казахстана","Куплю либо возьму в аренду ЛК банки Казахстана 
Ищу порядочных и честных дропов или дроповодов. 
Надо много и постоянно 
Пишите в телеграмм @iyigroupp","SUHUMI","Куплю","Автор темы: SUHUMI,
			21/12/23,
			ответов - 1,
			в разделе: Барахолка\Работа KZ","21/12/23","Барахолка\Работа KZ","Казахстан","Ищу","","","Куплю","Куплю","Казахстан","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-4","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Казахстан Куплю или возьму в аренду банковские карты Казахстана. Дорого","в аренду банковские карты Казахстана. Дорого 
Очень срочно нужны карты с личным кабинетом. Только Казахстан.
Пишите @iyigroupp телеграмм","SUHUMI","Куплю","Автор темы: SUHUMI,
			18/7/23,
			ответов - 0,
			в разделе: Корзина","18/7/23","Корзина","Казахстан","","","Казахстан","Куплю","Казахстан","Казахстан","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-5","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Украина Казахстан Куплю карты Украина, Кзт, БРАЗИЛИЯ, ИНДИЯ","Нужен проверенный человек на длительное сотрудничество. Интересуют карты по таким гео: Украина, Казахстан, Бразилия, Чили, Индия, Аргентина,...","anastasiia_pr","Куплю","Автор темы: anastasiia_pr,
			7/3/23,
			ответов - 0,
			в разделе: Корзина","7/3/23","Корзина","","Украина","","Казахстан","Куплю","Казахстан","","Тема","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_s.png"
"1782372088-6","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Смартбанк, Бинанс, Симл","Всем привет.  Видела на барахолке много кто пишет куплю возьму в аренду карты банка Казахстана, или личный кабинет .
Подскажите на сколько эта...","Strelka","","Запись в блоге: Strelka,
			30/12/22","30/12/22","","","","","","","куплю","Казахстан","","https://www.legalizer.cc/search/44355335/data/avatars/s/216/216671.jpg?1767127656"
"1782372088-7","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Продам Казахстан Куплю / Продам Карты КЗ | Обнал / Залив","Как связаться с вами?","SamHakim","Куплю","Сообщение от: SamHakim,
			1/12/22
			в разделе: Обналичка, Обмен, Карты, Кошельки, Аккаунты","1/12/22","Обналичка, Обмен, Карты, Кошельки, Аккаунты","","","Продам","Казахстан","Куплю","","","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-8","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Продам Верификации за деньги!!!","1.Фотоконтроль яндекс такси Необходим паспорт и водительскому удостоверение (Русские имена - 1000) (Не русские имена - 1500) Только Мужчины.
2....","Zolotoy_briliant","","Сообщение от: Zolotoy_briliant,
			17/10/22
			в разделе: Корзина","17/10/22","Корзина","","","Продам","","Куплю","","","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-9","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю Продам Казахстан Куплю / Продам Карты КЗ | Обнал / Залив","@Killer_Kiril667 в лс","KillerKiril","Куплю","Сообщение от: KillerKiril,
			12/10/22
			в разделе: Обналичка, Обмен, Карты, Кошельки, Аккаунты","12/10/22","Обналичка, Обмен, Карты, Кошельки, Аккаунты","","","Продам","Казахстан","Куплю","","","Сообщение","https://www.legalizer.cc/search/44355335/styles/default/xenforo/avatars/avatar_male_s.png"
"1782372088-10","https://www.legalizer.cc/search/44355335/?q=%D0%BA%D1%83%D0%BF%D0%BB%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83+%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD&o=date","Куплю КУПЛЮ ЛИЧНЫЙ  КАБИНЕТ БАНКА","Не обязательно банковская карта для этого) виртуальной хватит","1nvincible","КУПЛЮ","Сообщение от: 1nvincible,
			17/7/22
			в разделе: Барахолка\Работа KZ","17/7/22","Барахолка\Работа KZ","","","","","Куплю","","","Сообщение","https://www.legalizer.cc/search/44355335/data/avatars/s/63/63850.jpg?1730116354"
